Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$CreateViewTask.class,116,0.0,0,0,1,0,137,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$DrawCanvasCallback.class,107,0.0,0,0,1,0,117,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$DrawPageTask.class,118,0.0,0,0,1,0,133,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$LoadDocumentTask.class,118,0.0,0,0,1,0,132,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$PageViewAnimation.class,120,0.0,0,0,1,0,142,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ReaderCommand.class,113,0.0,0,0,1,0,133,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ReaderSurfaceView.class,107,0.0,0,0,1,0,118,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$SavePositionTask.class,115,0.0,0,0,1,0,131,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ScrollViewAnimation.class,123,0.0,0,0,1,0,142,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$Sync.class,118,0.0,0,0,1,0,134,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$Task.class,118,0.0,0,0,1,0,130,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ViewAnimationBase.class,118,0.0,0,0,1,0,132,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ViewAnimationControl.class,106,0.0,0,0,1,0,114,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$ViewMode.class,108,0.0,0,0,1,0,118,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView.class,146,0.0,0,0,1,0,584,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Scanner.class,77,0.0,0,0,1,0,161,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\SearchDlg.class,62,0.0,0,0,1,0,85,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Selection.class,6,0.0,0,0,0,0,22,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\TOCDlg.class,103,0.0,0,0,1,0,130,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\TOCItem.class,20,0.0,0,0,0,0,89,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\AUTHORS,0,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\ChangeLog,6,0.0,0,0,0,0,7,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\CMakeLists.txt,150,0.06666666666666667,0,0,1,0,151,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\COPYING,280,0.0,0,0,1,0,281,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\INSTALL,128,0.0,0,0,1,0,129,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\NEWS,0,0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\README,0,0,0,0,0,0,0,0
